chromosome,region_start,region_end,gene_id,gene_name,gene_start,gene_end,methylation_diff,p_value,q_value,direction,genebody,chrom,start,end,genename
chr19,54700000,54800000,ENSMMUG00000021945,GNG13,54796335,54807329,-0.0198166974272149,0.0433622188594735,0.3751499707118371,Decreased in Stressed,ENSMMUG00000021945,chr19,54796335,54807329,GNG13
chr2,2400000,2500000,ENSMMUG00000063008,CPED1,2403500,2415004,-0.0358226670326883,0.0467685866914884,0.540743977461898,Decreased in Stressed,ENSMMUG00000063008,chr2,2403500,2415004,CPED1
chr2,120200000,120300000,ENSMMUG00000053569,,120220085,120221730,-0.0253347099871047,0.0433622188594735,0.540743977461898,Decreased in Stressed,ENSMMUG00000053569,chr2,120220085,120221730,
chr2,120600000,120700000,ENSMMUG00000000265,TMC5,120658453,120826867,-0.0245599706936179,0.0467685866914884,0.540743977461898,Decreased in Stressed,ENSMMUG00000000265,chr2,120658453,120826867,TMC5
chr20,14800000,14900000,ENSMMUG00000002984,LRRC34,14830010,14888250,0.0298049394426764,0.0433622188594735,0.8391531494246626,Increased in Stressed,ENSMMUG00000002984,chr20,14830010,14888250,LRRC34
chr20,17600000,17700000,ENSMMUG00000005593,KLHL6,17625897,17644841,0.0282363111619613,0.0371753969838011,0.8391531494246626,Increased in Stressed,ENSMMUG00000005593,chr20,17625897,17644841,KLHL6
chr3,152900000,153000000,ENSMMUG00000015240,,152900218,153699486,-0.0205445899115263,0.0467685866914884,0.995280352857856,Decreased in Stressed,ENSMMUG00000015240,chr3,152900218,153699486,
chr3,153000000,153100000,ENSMMUG00000015240,,152900218,153699486,-0.0205029726531665,0.0467685866914884,0.995280352857856,Decreased in Stressed,ENSMMUG00000015240,chr3,152900218,153699486,
chr3,153100000,153200000,ENSMMUG00000015240,,152900218,153699486,-0.0204564360958611,0.0467685866914884,0.995280352857856,Decreased in Stressed,ENSMMUG00000015240,chr3,152900218,153699486,
chr7,38800000,38900000,ENSMMUG00000011503,,38899628,39294083,0.0206857460740991,0.0467685866914884,1.0,Increased in Stressed,ENSMMUG00000011503,chr7,38899628,39294083,
chr7,38900000,39000000,ENSMMUG00000011503,,38899628,39294083,0.021036482933018,0.0433622188594735,1.0,Increased in Stressed,ENSMMUG00000011503,chr7,38899628,39294083,
chr7,39000000,39100000,ENSMMUG00000011503,,38899628,39294083,0.021380168480352,0.0317565928714909,0.7915449267968638,Increased in Stressed,ENSMMUG00000011503,chr7,38899628,39294083,
chr7,39100000,39200000,ENSMMUG00000011503,,38899628,39294083,0.0217161141998839,0.0293112220061821,0.7530729346203713,Increased in Stressed,ENSMMUG00000011503,chr7,38899628,39294083,
chr7,39200000,39300000,ENSMMUG00000011503,,38899628,39294083,0.0220437523973936,0.0270296363649138,0.7053045738969718,Increased in Stressed,ENSMMUG00000011503,chr7,38899628,39294083,
chr7,39300000,39400000,ENSMMUG00000063944,TXNDC15,39349927,39351797,0.0223625924418828,0.0270296363649138,0.7053045738969718,Increased in Stressed,ENSMMUG00000063944,chr7,39349927,39351797,TXNDC15
chr7,40800000,40900000,ENSMMUG00000029603,LYRM2,40865442,40884109,0.0256701559636558,0.0044081496956528,0.2300503122418856,Increased in Stressed,ENSMMUG00000029603,chr7,40865442,40884109,LYRM2
chr7,41000000,41100000,ENSMMUG00000001247,,41010319,41207180,0.025658916852039,0.0026432142645853,0.1697756854560588,Increased in Stressed,ENSMMUG00000001247,chr7,41010319,41207180,
chr7,41100000,41200000,ENSMMUG00000001247,,41010319,41207180,0.0257333314735975,0.0021400575309807,0.1624498216699033,Increased in Stressed,ENSMMUG00000001247,chr7,41010319,41207180,
chr7,41200000,41300000,ENSMMUG00000001247,,41010319,41207180,0.0257927858101898,0.0017261579259674,0.1624498216699033,Increased in Stressed,ENSMMUG00000001247,chr7,41010319,41207180,
chr7,42400000,42500000,ENSMMUG00000008006,,42432433,42455485,0.0254205071016359,0.0015480777727919,0.1624498216699033,Increased in Stressed,ENSMMUG00000008006,chr7,42432433,42455485,
chr7,42400000,42500000,ENSMMUG00000008007,,42462049,42840783,0.0254205071016359,0.0015480777727919,0.1624498216699033,Increased in Stressed,ENSMMUG00000008007,chr7,42462049,42840783,
chr7,42500000,42600000,ENSMMUG00000008007,,42462049,42840783,0.0251475411087092,0.0015480777727919,0.1624498216699033,Increased in Stressed,ENSMMUG00000008007,chr7,42462049,42840783,
chr7,42600000,42700000,ENSMMUG00000008007,,42462049,42840783,0.0250192210807006,0.0015480777727919,0.1624498216699033,Increased in Stressed,ENSMMUG00000008007,chr7,42462049,42840783,
chr7,42700000,42800000,ENSMMUG00000008007,,42462049,42840783,0.0248775353371627,0.0017261579259674,0.1624498216699033,Increased in Stressed,ENSMMUG00000008007,chr7,42462049,42840783,
chr7,42800000,42900000,ENSMMUG00000008007,,42462049,42840783,0.0247228217132807,0.0017261579259674,0.1624498216699033,Increased in Stressed,ENSMMUG00000008007,chr7,42462049,42840783,
chr8,144800000,144900000,ENSMMUG00000040973,,144836531,144841890,0.0280066211728893,0.0293112220061821,1.0,Increased in Stressed,ENSMMUG00000040973,chr8,144836531,144841890,
chr8,145100000,145200000,ENSMMUG00000013379,mml-mir-507,145105177,145107626,0.0293007944822835,0.0343748552169241,1.0,Increased in Stressed,ENSMMUG00000013379,chr8,145105177,145107626,mml-mir-507
chr8,145600000,145700000,ENSMMUG00000000451,,145601003,145606306,0.03144714570244,0.0270296363649138,1.0,Increased in Stressed,ENSMMUG00000000451,chr8,145601003,145606306,
chr8,145600000,145700000,ENSMMUG00000004008,,145626665,145668671,0.03144714570244,0.0270296363649138,1.0,Increased in Stressed,ENSMMUG00000004008,chr8,145626665,145668671,
