"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSMMUG00000018517"," DEFA1B","ENSMMUG00000018517",574196,"protein_coding","Macaque","8",7.732155,"defensin alpha 1B [Source:NCBI gene (formerly Entrezgene);Acc:574196]",46.19,1,866,291,291,NA,NA,2
"ENSMMUG00000060700"," ","ENSMMUG00000060700",106999670,"protein_coding","Macaque","8",8.046411,"",49.74,1,2081,840,840,NA,NA,4
"ENSMMUG00000053238"," CLXN","ENSMMUG00000053238",708842,"protein_coding","Macaque","8",49.292682,"calaxin [Source:VGNC Symbol;Acc:VGNC:72111]",40.34,1,12655,636,3176,498,1021,7
"ENSMMUG00000004387"," RNF19A","ENSMMUG00000004387",705118,"protein_coding","Macaque","8",100.524275,"ring finger protein 19A, RBR E3 ubiquitin protein ligase [Source:VGNC Symbol;Acc:VGNC:82224]",36.92,2,54419,2436,3390,132,1474,9
"ENSMMUG00000017443"," NET1","ENSMMUG00000017443",712080,"protein_coding","Macaque","9",6.57951,"neuroepithelial cell transforming 1 [Source:VGNC Symbol;Acc:VGNC:75176]",37.55,2,43172,1710,3013,86,1217,11
"ENSMMUG00000004930"," MAP3K8","ENSMMUG00000004930",696936,"protein_coding","Macaque","9",31.347474,"mitogen-activated protein kinase kinase kinase 8 [Source:VGNC Symbol;Acc:VGNC:81464]",42.47,3,30163,1508,3735,290,2760,8
"ENSMMUG00000015453"," ZEB1","ENSMMUG00000015453",701157,"protein_coding","Macaque","9",32.26318,"zinc finger E-box binding homeobox 1 [Source:VGNC Symbol;Acc:VGNC:78559]",35.08,2,182963,3280,3576,591,NA,8
"ENSMMUG00000018921"," CENPB","ENSMMUG00000018921",718571,"protein_coding","Macaque","10",62.700914,"centromere protein B [Source:VGNC Symbol;Acc:VGNC:71006]",64.62,1,1812,1812,1812,NA,NA,1
"ENSMMUG00000063520"," DDRGK1","ENSMMUG00000063520",717226,"protein_coding","Macaque","10",63.29473,"DDRGK domain containing 1 [Source:VGNC Symbol;Acc:VGNC:107785]",52.69,4,19858,919,1909,225,1095,8
"ENSMMUG00000005204"," VPS16","ENSMMUG00000005204",100426686,"protein_coding","Macaque","10",63.63654,"VPS16 core subunit of CORVET and HOPS complexes [Source:VGNC Symbol;Acc:VGNC:78966]",48.68,3,44957,2464,2795,30,454,23
"ENSMMUG00000004403"," ID1","ENSMMUG00000004403",713160,"protein_coding","Macaque","10",66.852363,"inhibitor of DNA binding 1, HLH protein [Source:VGNC Symbol;Acc:VGNC:73556]",59.46,1,1115,465,872,22,385,2
"ENSMMUG00000051112"," PDRG1","ENSMMUG00000051112",712622,"protein_coding","Macaque","10",67.186472,"p53 and DNA damage regulated 1 [Source:VGNC Symbol;Acc:VGNC:75808]",49.7,1,9436,402,3318,NA,2916,5
"ENSMMUG00000031238"," CCM2L","ENSMMUG00000031238",107000439,"protein_coding","Macaque","10",67.25281,"CCM2 like scaffold protein [Source:VGNC Symbol;Acc:VGNC:84564]",49.39,3,21099,1570,1570,NA,NA,9
"ENSMMUG00000031253"," DYNLRB1","ENSMMUG00000031253",100428465,"protein_coding","Macaque","10",69.71726,"dynein light chain roadblock-type 1 [Source:VGNC Symbol;Acc:VGNC:71839]",48.65,1,20974,291,291,NA,NA,4
"ENSMMUG00000010403"," UQCC1","ENSMMUG00000010403",705546,"protein_coding","Macaque","10",70.512608,"ubiquinol-cytochrome c reductase complex assembly factor 1 [Source:VGNC Symbol;Acc:VGNC:78989]",43.04,8,110298,769,2042,47,1111,9
"ENSMMUG00000038363"," AP5B1","ENSMMUG00000038363",721904,"protein_coding","Macaque","14",8.785513,"adaptor related protein complex 5 subunit beta 1 [Source:VGNC Symbol;Acc:VGNC:107421]",66.23,1,3636,2637,3537,340,560,2
"ENSMMUG00000018767"," CDCA5","ENSMMUG00000018767",721998,"protein_coding","Macaque","14",9.450593,"cell division cycle associated 5 [Source:VGNC Symbol;Acc:VGNC:100907]",51.31,1,4327,759,759,NA,NA,6
"ENSMMUG00000016675"," GRIN3A","ENSMMUG00000016675",716892,"protein_coding","Macaque","15",41.145573,"glutamate ionotropic receptor NMDA type subunit 3A [Source:VGNC Symbol;Acc:VGNC:73177]",38.06,1,161293,3348,3348,NA,NA,9
"ENSMMUG00000016609"," NUFIP1","ENSMMUG00000016609",701445,"protein_coding","Macaque","17",23.481351,"nuclear FMR1 interacting protein 1 [Source:VGNC Symbol;Acc:VGNC:106279]",39.27,2,53428,1430,1542,34,190,10
"ENSMMUG00000017033"," LCP1","ENSMMUG00000017033",703429,"protein_coding","Macaque","17",24.630112,"lymphocyte cytosolic protein 1 [Source:VGNC Symbol;Acc:VGNC:74242]",40.43,3,86996,1893,3117,41,1624,17
"ENSMMUG00000004997"," SETBP1","ENSMMUG00000004997",699652,"protein_coding","Macaque","18",37.376701,"SET binding protein 1 [Source:VGNC Symbol;Acc:VGNC:97823]",42.21,1,377131,4791,6134,111,1121,6
"ENSMMUG00000006866"," CELF4","ENSMMUG00000006866",715864,"protein_coding","Macaque","18",44.99415,"CUGBP Elav-like family member 4 [Source:VGNC Symbol;Acc:VGNC:70945]",52.31,8,319904,1599,2028,222,225,12
"ENSMMUG00000012677"," KDM4B","ENSMMUG00000012677",695760,"protein_coding","Macaque","19",4.906112,"lysine demethylase 4B [Source:VGNC Symbol;Acc:VGNC:73930]",57.62,2,182466,3342,4642,181,1514,24
"ENSMMUG00000011962"," PTPRS","ENSMMUG00000011962",574274,"protein_coding","Macaque","19",5.138755,"protein tyrosine phosphatase receptor type S [Source:VGNC Symbol;Acc:VGNC:76622]",54.04,5,134868,5530,5611,203,NA,33
"ENSMMUG00000000194"," SLC27A1","ENSMMUG00000000194",719140,"protein_coding","Macaque","19",16.992407,"solute carrier family 27 member 1 [Source:VGNC Symbol;Acc:VGNC:77438]",54.89,4,25986,1933,2901,221,1554,12
"ENSMMUG00000003162"," PIK3R2","ENSMMUG00000003162",719367,"protein_coding","Macaque","19",17.67897,"phosphoinositide-3-kinase regulatory subunit 2 [Source:NCBI gene (formerly Entrezgene);Acc:719367]",56.17,1,15810,2184,2706,410,112,15
"ENSMMUG00000050519"," ","ENSMMUG00000050519",NA,"protein_coding","Macaque","19",17.835977,"",50.12,1,866,408,866,457,1,1
"ENSMMUG00000023286"," UPF1","ENSMMUG00000023286",720288,"protein_coding","Macaque","19",18.401533,"UPF1 RNA helicase and ATPase [Source:VGNC Symbol;Acc:VGNC:79971]",54.53,2,36387,3326,3326,NA,NA,22
"ENSMMUG00000019669"," SLC25A42","ENSMMUG00000019669",720321,"protein_coding","Macaque","19",18.645845,"solute carrier family 25 member 42 [Source:VGNC Symbol;Acc:VGNC:77579]",52.3,2,93713,936,2062,72,2109,24
"ENSMMUG00000013837"," SHISA9","ENSMMUG00000013837",717127,"protein_coding","Macaque","20",12.84769,"shisa family member 9 [Source:VGNC Symbol;Acc:VGNC:99589]",43.29,1,338428,1275,1275,NA,NA,5
"ENSMMUG00000008264"," BFAR","ENSMMUG00000008264",713053,"protein_coding","Macaque","20",14.615697,"bifunctional apoptosis regulator [Source:VGNC Symbol;Acc:VGNC:70339]",45.69,2,42594,1166,2607,116,1209,7
"ENSMMUG00000053137"," ","ENSMMUG00000053137",NA,"pseudogene","Macaque","8",49.545791,"",42.68,1,902,NA,836,NA,NA,2
"10",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GENE_ID",NA,"Not mapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
